ablation,setting,arm,accuracy,in_tok,tok_per_correct
drift,"drift=0.0,name_target=True",reactive_afm,0.9815,63313.0,2389.2
drift,"drift=0.0,name_target=True",foveance,0.9815,63313.0,2389.2
drift,"drift=0.3,name_target=True",reactive_afm,0.9815,63260.2,2387.2
drift,"drift=0.3,name_target=True",foveance,0.9815,63441.3,2394.0
drift,"drift=0.6,name_target=True",reactive_afm,0.9815,63263.2,2387.3
drift,"drift=0.6,name_target=True",foveance,0.9815,63484.8,2395.7
drift,"drift=0.9,name_target=True",reactive_afm,0.963,63266.7,2433.3
drift,"drift=0.9,name_target=True",foveance,0.963,63742.0,2451.6
drift,"drift=0.0,name_target=False",reactive_afm,0.9938,63483.7,2365.9
drift,"drift=0.0,name_target=False",foveance,0.9938,63483.7,2365.9
drift,"drift=0.3,name_target=False",reactive_afm,0.9938,63526.2,2367.4
drift,"drift=0.3,name_target=False",foveance,1.0,63647.5,2357.3
drift,"drift=0.6,name_target=False",reactive_afm,0.9877,63437.2,2378.9
drift,"drift=0.6,name_target=False",foveance,0.9938,63689.8,2373.5
drift,"drift=0.9,name_target=False",reactive_afm,0.9877,63322.7,2374.6
drift,"drift=0.9,name_target=False",foveance,0.9938,63616.3,2370.8
predictor,heuristic,foveance,1.0,63730.3,2360.4
predictor,learned,foveance,0.9815,63835.2,2408.9
retrieve,retrieve_on,foveance,1.0,56919.0,2108.1
retrieve,retrieve_off,foveance,1.0,56919.0,2108.1
fidelity_cost,fidelity_cost_on,foveance,1.0,63730.3,2360.4
fidelity_cost,fidelity_cost_off,foveance,1.0,56919.0,2108.1
