model,seed,policy,budget,accuracy,in_tok,out_tok,peak_tok,wall_s,n_turns,n_recall,n_correct,reinflations
llama3.2:1b,0,full,400,1.0,8259,30,1512,103.378,6,3,3,0
llama3.2:1b,1,full,400,1.0,8259,33,1513,87.1564,6,3,3,0
llama3.2:1b,2,full,400,1.0,8259,29,1511,93.6028,6,3,3,0
llama3.2:1b,3,full,400,1.0,8259,29,1514,95.3468,6,3,3,0
llama3.2:1b,4,full,400,1.0,8259,35,1511,85.0887,6,3,3,0
llama3.2:1b,0,recency,400,0.666667,7207,29,1047,154.7786,6,3,2,0
llama3.2:1b,1,recency,400,0.666667,7213,35,1048,155.699,6,3,2,0
llama3.2:1b,2,recency,400,0.666667,7209,31,1044,142.7183,6,3,2,0
llama3.2:1b,3,recency,400,0.666667,7213,25,1048,117.2552,6,3,2,0
llama3.2:1b,4,recency,400,0.666667,7206,28,1046,121.4889,6,3,2,0
llama3.2:1b,0,reactive_afm,400,1.0,3091,34,439,63.34,6,3,3,0
llama3.2:1b,1,reactive_afm,400,1.0,3091,30,440,45.2354,6,3,3,0
llama3.2:1b,2,reactive_afm,400,1.0,3011,34,428,44.9006,6,3,3,0
llama3.2:1b,3,reactive_afm,400,1.0,3091,31,440,49.1446,6,3,3,0
llama3.2:1b,4,reactive_afm,400,1.0,3091,28,440,42.6218,6,3,3,0
llama3.2:1b,0,foveance,400,1.0,3091,34,439,18.8599,6,3,3,0
llama3.2:1b,1,foveance,400,1.0,3091,37,440,45.4222,6,3,3,0
llama3.2:1b,2,foveance,400,1.0,3011,34,427,31.3415,6,3,3,0
llama3.2:1b,3,foveance,400,1.0,3091,31,440,20.7243,6,3,3,0
llama3.2:1b,4,foveance,400,1.0,3091,28,440,22.0534,6,3,3,0
llama3.2:1b,0,full,700,1.0,8259,30,1512,59.8174,6,3,3,0
llama3.2:1b,1,full,700,1.0,8259,33,1513,60.1048,6,3,3,0
llama3.2:1b,2,full,700,1.0,8259,29,1511,60.2638,6,3,3,0
llama3.2:1b,3,full,700,1.0,8259,29,1514,60.6873,6,3,3,0
llama3.2:1b,4,full,700,1.0,8259,35,1511,64.5147,6,3,3,0
llama3.2:1b,0,recency,700,0.666667,7207,29,1047,115.6108,6,3,2,0
llama3.2:1b,1,recency,700,0.666667,7213,35,1048,114.9007,6,3,2,0
llama3.2:1b,2,recency,700,0.666667,7209,31,1044,114.2652,6,3,2,0
llama3.2:1b,3,recency,700,0.666667,7213,25,1048,113.494,6,3,2,0
llama3.2:1b,4,recency,700,0.666667,7206,28,1046,113.4508,6,3,2,0
llama3.2:1b,0,reactive_afm,700,1.0,5219,33,720,59.0397,6,3,3,0
llama3.2:1b,1,reactive_afm,700,1.0,5219,28,722,61.0032,6,3,3,0
llama3.2:1b,2,reactive_afm,700,1.0,5139,32,708,52.0179,6,3,3,0
llama3.2:1b,3,reactive_afm,700,1.0,5219,30,721,66.7573,6,3,3,0
llama3.2:1b,4,reactive_afm,700,1.0,5219,32,720,73.8308,6,3,3,0
llama3.2:1b,0,foveance,700,1.0,5219,33,720,58.6722,6,3,3,0
llama3.2:1b,1,foveance,700,1.0,5219,31,722,49.561,6,3,3,0
llama3.2:1b,2,foveance,700,1.0,5159,32,706,65.5267,6,3,3,0
llama3.2:1b,3,foveance,700,1.0,5219,30,721,34.1379,6,3,3,0
llama3.2:1b,4,foveance,700,1.0,5219,32,720,50.9511,6,3,3,0
llama3.2:1b,0,full,1200,1.0,8259,30,1512,60.4777,6,3,3,0
llama3.2:1b,1,full,1200,1.0,8259,33,1513,60.6252,6,3,3,0
llama3.2:1b,2,full,1200,1.0,8259,29,1511,61.5886,6,3,3,0
llama3.2:1b,3,full,1200,1.0,8259,29,1514,61.5096,6,3,3,0
llama3.2:1b,4,full,1200,1.0,8259,35,1511,61.8196,6,3,3,0
llama3.2:1b,0,recency,1200,0.666667,7207,29,1047,50.0048,6,3,2,0
llama3.2:1b,1,recency,1200,0.666667,7213,35,1048,49.7923,6,3,2,0
llama3.2:1b,2,recency,1200,0.666667,7209,31,1044,49.8951,6,3,2,0
llama3.2:1b,3,recency,1200,0.666667,7213,25,1048,49.0159,6,3,2,0
llama3.2:1b,4,recency,1200,0.666667,7206,28,1046,49.4938,6,3,2,0
llama3.2:1b,0,reactive_afm,1200,1.0,7347,27,1116,84.3977,6,3,3,0
llama3.2:1b,1,reactive_afm,1200,1.0,7347,27,1117,94.6033,6,3,3,0
llama3.2:1b,2,reactive_afm,1200,0.666667,7307,25,1103,84.7651,6,3,2,0
llama3.2:1b,3,reactive_afm,1200,1.0,7347,23,1117,84.0645,6,3,3,0
llama3.2:1b,4,reactive_afm,1200,1.0,7347,32,1115,93.7535,6,3,3,0
llama3.2:1b,0,foveance,1200,1.0,7347,27,1116,42.1629,6,3,3,0
llama3.2:1b,1,foveance,1200,1.0,7347,27,1117,42.0555,6,3,3,0
llama3.2:1b,2,foveance,1200,0.666667,7307,25,1103,59.5188,6,3,2,0
llama3.2:1b,3,foveance,1200,1.0,7347,23,1117,41.9814,6,3,3,0
llama3.2:1b,4,foveance,1200,1.0,7347,32,1115,42.4512,6,3,3,0
qwen2.5:1.5b,0,full,400,1.0,9894,36,1512,83.1523,6,3,3,0
qwen2.5:1.5b,1,full,400,1.0,9895,36,1513,74.9504,6,3,3,0
qwen2.5:1.5b,2,full,400,1.0,9890,36,1511,74.0986,6,3,3,0
qwen2.5:1.5b,3,full,400,1.0,9922,36,1514,73.8581,6,3,3,0
qwen2.5:1.5b,4,full,400,1.0,9873,36,1511,72.921,6,3,3,0
qwen2.5:1.5b,0,recency,400,0.666667,8619,32,1047,122.1831,6,3,2,0
qwen2.5:1.5b,1,recency,400,0.666667,8627,32,1048,121.9398,6,3,2,0
qwen2.5:1.5b,2,recency,400,0.666667,8611,32,1044,119.6026,6,3,2,0
qwen2.5:1.5b,3,recency,400,0.666667,8647,32,1048,122.2626,6,3,2,0
qwen2.5:1.5b,4,recency,400,0.666667,8601,32,1046,121.2842,6,3,2,0
qwen2.5:1.5b,0,reactive_afm,400,1.0,3603,36,439,47.3286,6,3,3,0
qwen2.5:1.5b,1,reactive_afm,400,1.0,3606,32,440,36.3431,6,3,3,0
qwen2.5:1.5b,2,reactive_afm,400,1.0,3518,36,428,36.5854,6,3,3,0
qwen2.5:1.5b,3,reactive_afm,400,1.0,3610,36,440,41.3725,6,3,3,0
qwen2.5:1.5b,4,reactive_afm,400,1.0,3599,36,440,35.3899,6,3,3,0
qwen2.5:1.5b,0,foveance,400,1.0,3603,36,439,18.2228,6,3,3,0
qwen2.5:1.5b,1,foveance,400,1.0,3605,36,440,44.8486,6,3,3,0
qwen2.5:1.5b,2,foveance,400,1.0,3513,36,427,30.6032,6,3,3,0
qwen2.5:1.5b,3,foveance,400,1.0,3610,36,440,20.1511,6,3,3,0
qwen2.5:1.5b,4,foveance,400,1.0,3599,36,440,21.9662,6,3,3,0
qwen2.5:1.5b,0,full,700,1.0,9894,36,1512,65.3274,6,3,3,0
qwen2.5:1.5b,1,full,700,1.0,9895,36,1513,65.1535,6,3,3,0
qwen2.5:1.5b,2,full,700,1.0,9890,36,1511,65.0247,6,3,3,0
qwen2.5:1.5b,3,full,700,1.0,9922,36,1514,65.2055,6,3,3,0
qwen2.5:1.5b,4,full,700,1.0,9873,36,1511,64.687,6,3,3,0
qwen2.5:1.5b,0,recency,700,0.666667,8619,32,1047,51.7448,6,3,2,0
qwen2.5:1.5b,1,recency,700,0.666667,8627,32,1048,51.8399,6,3,2,0
qwen2.5:1.5b,2,recency,700,0.666667,8611,32,1044,52.2978,6,3,2,0
qwen2.5:1.5b,3,recency,700,0.666667,8647,32,1048,51.9242,6,3,2,0
qwen2.5:1.5b,4,recency,700,0.666667,8601,32,1046,52.2255,6,3,2,0
qwen2.5:1.5b,0,reactive_afm,700,1.0,6191,36,720,61.7669,6,3,3,0
qwen2.5:1.5b,1,reactive_afm,700,1.0,6198,36,722,61.5054,6,3,3,0
qwen2.5:1.5b,2,reactive_afm,700,1.0,6116,36,708,53.6961,6,3,3,0
qwen2.5:1.5b,3,reactive_afm,700,1.0,6206,36,721,68.5512,6,3,3,0
qwen2.5:1.5b,4,reactive_afm,700,1.0,6181,36,720,76.1103,6,3,3,0
qwen2.5:1.5b,0,foveance,700,1.0,6191,36,720,60.6126,6,3,3,0
qwen2.5:1.5b,1,foveance,700,1.0,6197,36,722,51.5409,6,3,3,0
qwen2.5:1.5b,2,foveance,700,1.0,6124,36,706,67.4786,6,3,3,0
qwen2.5:1.5b,3,foveance,700,1.0,6206,36,721,35.2299,6,3,3,0
qwen2.5:1.5b,4,foveance,700,1.0,6181,36,720,52.7931,6,3,3,0
qwen2.5:1.5b,0,full,1200,1.0,9894,36,1512,65.1688,6,3,3,0
qwen2.5:1.5b,1,full,1200,1.0,9895,36,1513,65.8503,6,3,3,0
qwen2.5:1.5b,2,full,1200,1.0,9890,36,1511,65.3086,6,3,3,0
qwen2.5:1.5b,3,full,1200,1.0,9922,36,1514,64.9775,6,3,3,0
qwen2.5:1.5b,4,full,1200,1.0,9873,36,1511,64.8313,6,3,3,0
qwen2.5:1.5b,0,recency,1200,0.666667,8619,32,1047,51.7766,6,3,2,0
qwen2.5:1.5b,1,recency,1200,0.666667,8627,32,1048,51.8828,6,3,2,0
qwen2.5:1.5b,2,recency,1200,0.666667,8611,32,1044,53.5978,6,3,2,0
qwen2.5:1.5b,3,recency,1200,0.666667,8647,32,1048,52.8858,6,3,2,0
qwen2.5:1.5b,4,recency,1200,0.666667,8601,32,1046,52.3755,6,3,2,0
qwen2.5:1.5b,0,reactive_afm,1200,1.0,8784,36,1116,90.3562,6,3,3,0
qwen2.5:1.5b,1,reactive_afm,1200,1.0,8783,36,1117,97.6649,6,3,3,0
qwen2.5:1.5b,2,reactive_afm,1200,1.0,8740,36,1103,88.9684,6,3,3,0
qwen2.5:1.5b,3,reactive_afm,1200,1.0,8805,36,1117,90.7643,6,3,3,0
qwen2.5:1.5b,4,reactive_afm,1200,1.0,8764,36,1115,99.3016,6,3,3,0
