seed,turn,budget,v_index,v_dp,v_lp,rel_gap,idx_over_lp
0,0,600,0.258052,0.258052,0.258052,0.0,1.0
0,0,1200,0.258052,0.258052,0.258052,0.0,1.0
0,0,1600,0.258052,0.258052,0.258052,0.0,1.0
0,0,2500,0.258052,0.258052,0.258052,0.0,1.0
0,0,4000,0.258052,0.258052,0.258052,0.0,1.0
0,1,600,0.496904,0.496904,0.498538,0.0,0.996723
0,1,1200,0.547345,0.547345,0.547345,0.0,1.0
0,1,1600,0.547345,0.547345,0.547345,0.0,1.0
0,1,2500,0.547345,0.547345,0.547345,0.0,1.0
0,1,4000,0.547345,0.547345,0.547345,0.0,1.0
0,2,600,0.587939,0.587939,0.637181,0.0,0.922719
0,2,1200,0.690379,0.690379,0.697412,0.0,0.989915
0,2,1600,0.690379,0.690379,0.733481,0.0,0.941236
0,2,2500,0.734924,0.734924,0.734924,0.0,1.0
0,2,4000,0.734924,0.734924,0.734924,0.0,1.0
0,3,600,0.78364,0.78364,0.830736,0.0,0.943308
0,3,1200,0.887911,0.887911,0.891004,-0.0,0.996529
0,3,1600,0.887911,0.887911,0.929662,-0.0,0.95509
0,3,2500,0.97955,0.97955,0.97955,-0.0,1.0
0,3,4000,0.97955,0.97955,0.97955,-0.0,1.0
0,4,600,0.925903,0.925903,0.964339,0.0,0.960143
0,4,1200,0.977116,0.977116,1.023576,0.0,0.95461
0,4,1600,1.025037,1.025037,1.061757,0.0,0.965416
0,4,2500,1.117694,1.117694,1.141875,0.0,0.978824
0,4,4000,1.157379,1.157379,1.157379,0.0,1.0
0,5,600,1.085979,1.085979,1.120594,0.0,0.96911
0,5,1200,1.138055,1.138055,1.179218,0.0,0.965093
0,5,1600,1.185249,1.185249,1.217422,0.0,0.973573
0,5,2500,1.276784,1.276784,1.299015,0.0,0.982886
0,5,4000,1.357474,1.357474,1.357474,0.0,1.0
0,6,600,1.289561,1.289561,1.320269,0.0,0.976741
0,6,1200,1.341586,1.341586,1.381222,0.0,0.971304
0,6,1600,1.392077,1.392077,1.420818,0.0,0.979771
0,6,2500,1.487277,1.487277,1.50608,0.0,0.987516
0,6,4000,1.611951,1.611951,1.611951,0.0,1.0
0,7,600,1.378468,1.378468,1.40525,0.0,0.980942
0,7,1200,1.432469,1.432469,1.46607,0.0,0.977081
0,7,1600,1.479663,1.479663,1.50249,-0.0,0.984808
0,7,2500,1.567738,1.567738,1.581464,0.0,0.99132
0,7,4000,1.689715,1.689715,1.702009,-0.0,0.992776
0,8,600,1.476301,1.476301,1.497136,0.0,0.986084
0,8,1200,1.527916,1.527916,1.557149,0.0,0.981226
0,8,1600,1.57511,1.57511,1.594265,0.0,0.987985
0,8,2500,1.661699,1.661699,1.670778,0.0,0.994566
0,8,4000,1.779101,1.779101,1.788644,-0.0,0.994665
0,9,600,1.674748,1.674748,1.691681,0.0,0.98999
0,9,1200,1.729199,1.729199,1.75461,0.0,0.985517
0,9,1600,1.777198,1.777198,1.792347,0.0,0.991548
0,9,2500,1.865976,1.865976,1.872912,0.0,0.996296
0,9,4000,1.989878,1.989878,1.996716,0.0,0.996575
0,10,600,1.738394,1.738394,1.750192,-0.0,0.993259
0,10,1200,1.79449,1.79449,1.814082,-0.0,0.9892
0,10,1600,1.842306,1.842306,1.852761,-0.0,0.994357
0,10,2500,1.931544,1.931544,1.933396,-0.0,0.999042
0,10,4000,2.044042,2.044042,2.046122,-0.0,0.998984
0,11,600,1.862765,1.862765,1.869024,0.0,0.996652
0,11,1200,1.916013,1.916013,1.931968,0.0,0.991742
0,11,1600,1.96723,1.96723,1.972029,-0.0,0.997567
0,11,2500,2.011775,2.044711,2.053357,0.016107,0.97975
0,11,4000,2.133386,2.167309,2.168897,0.015652,0.983627
0,12,600,1.984043,1.984043,1.985325,-0.0,0.999354
0,12,1200,2.037679,2.037679,2.04802,-0.0,0.994951
0,12,1600,2.084872,2.085028,2.085624,7.5e-05,0.99964
0,12,2500,2.132222,2.132222,2.168415,0.0,0.983309
0,12,4000,2.255891,2.255891,2.28637,0.0,0.986669
0,13,600,2.019216,2.112461,2.053395,0.044141,0.983355
0,13,1200,2.165686,2.165686,2.172635,0.0,0.996802
0,13,1600,2.165686,2.20801,2.214119,0.019168,0.978126
0,13,2500,2.264692,2.264692,2.296725,0.0,0.986053
0,13,4000,2.391246,2.391246,2.418013,0.0,0.98893
0,14,600,1.978283,2.080359,2.024125,0.049067,0.977352
