model,policy,budget,total_tok_mean,acc_mean,acc_lo,acc_hi
gemma2:2b,full,400,10227.8,1.0,1.0,1.0
gemma2:2b,full,700,10227.8,1.0,1.0,1.0
gemma2:2b,full,1200,10227.8,1.0,1.0,1.0
gemma2:2b,recency,400,8899.0,0.6667,0.6667,0.6667
gemma2:2b,recency,700,8899.0,0.6667,0.6667,0.6667
gemma2:2b,recency,1200,8899.0,0.6667,0.6667,0.6667
gemma2:2b,truncate,400,2760.4,0.0,0.0,0.0
gemma2:2b,truncate,700,4365.2,0.0,0.0,0.0
gemma2:2b,truncate,1200,6897.4,0.0,0.0,0.0
gemma2:2b,uniform,400,2276.4,0.0,0.0,0.0
gemma2:2b,uniform,700,2673.0,0.0,0.0,0.0
gemma2:2b,uniform,1200,4064.0,0.0,0.0,0.0
gemma2:2b,reactive_afm,400,3664.2,1.0,1.0,1.0
gemma2:2b,reactive_afm,700,6360.6,1.0,1.0,1.0
gemma2:2b,reactive_afm,1200,9062.8,1.0,1.0,1.0
gemma2:2b,foveance,400,3663.2,1.0,1.0,1.0
gemma2:2b,foveance,700,6362.0,0.9333,0.8,1.0
gemma2:2b,foveance,1200,9062.8,1.0,1.0,1.0
llama3.2:1b,full,400,8290.2,1.0,1.0,1.0
llama3.2:1b,full,700,8290.2,1.0,1.0,1.0
llama3.2:1b,full,1200,8290.2,1.0,1.0,1.0
llama3.2:1b,recency,400,7239.2,0.6667,0.6667,0.6667
llama3.2:1b,recency,700,7239.2,0.6667,0.6667,0.6667
llama3.2:1b,recency,1200,7239.2,0.6667,0.6667,0.6667
llama3.2:1b,truncate,400,4247.2,0.0,0.0,0.0
llama3.2:1b,truncate,700,6667.6,0.04,0.0,0.12
llama3.2:1b,truncate,1200,10457.2,0.4,0.4,0.4
llama3.2:1b,uniform,400,3275.8,1.0,1.0,1.0
llama3.2:1b,uniform,700,3887.2,1.0,1.0,1.0
llama3.2:1b,uniform,1200,6023.8,1.0,1.0,1.0
llama3.2:1b,reactive_afm,400,3106.4,1.0,1.0,1.0
llama3.2:1b,reactive_afm,700,5234.0,1.0,1.0,1.0
llama3.2:1b,reactive_afm,1200,7365.8,0.9333,0.8,1.0
llama3.2:1b,foveance,400,3107.8,1.0,1.0,1.0
llama3.2:1b,foveance,700,5238.6,1.0,1.0,1.0
llama3.2:1b,foveance,1200,7365.8,0.9333,0.8,1.0
qwen2.5:1.5b,full,400,9930.8,1.0,1.0,1.0
qwen2.5:1.5b,full,700,9930.8,1.0,1.0,1.0
qwen2.5:1.5b,full,1200,9930.8,1.0,1.0,1.0
qwen2.5:1.5b,recency,400,8653.0,0.6667,0.6667,0.6667
qwen2.5:1.5b,recency,700,8653.0,0.6667,0.6667,0.6667
qwen2.5:1.5b,recency,1200,8653.0,0.6667,0.6667,0.6667
qwen2.5:1.5b,truncate,400,2760.4,0.0,0.0,0.0
qwen2.5:1.5b,truncate,700,4365.2,0.0,0.0,0.0
qwen2.5:1.5b,truncate,1200,6897.4,0.0,0.0,0.0
qwen2.5:1.5b,uniform,400,2276.4,0.0,0.0,0.0
qwen2.5:1.5b,uniform,700,2673.0,0.0,0.0,0.0
qwen2.5:1.5b,uniform,1200,4064.0,0.0,0.0,0.0
qwen2.5:1.5b,reactive_afm,400,3622.4,1.0,1.0,1.0
qwen2.5:1.5b,reactive_afm,700,6214.4,1.0,1.0,1.0
qwen2.5:1.5b,reactive_afm,1200,8811.2,1.0,1.0,1.0
qwen2.5:1.5b,foveance,400,3622.0,1.0,1.0,1.0
qwen2.5:1.5b,foveance,700,6215.8,1.0,1.0,1.0
qwen2.5:1.5b,foveance,1200,8811.2,1.0,1.0,1.0
