model,seed,arm,budget,turn,input_tok,peak_tok,latency_s
llama3.2:1b,0,full,400,0,463,306,31.397558
llama3.2:1b,0,full,400,1,832,551,13.090802
llama3.2:1b,0,full,400,2,1201,795,13.440715
llama3.2:1b,0,full,400,3,1561,1033,14.871599
llama3.2:1b,0,full,400,4,1921,1273,15.277726
llama3.2:1b,0,full,400,5,2281,1512,15.299641
llama3.2:1b,1,full,400,0,463,305,12.739097
llama3.2:1b,1,full,400,1,832,550,13.859516
llama3.2:1b,1,full,400,2,1201,795,14.478682
llama3.2:1b,1,full,400,3,1561,1034,15.011064
llama3.2:1b,1,full,400,4,1921,1273,16.140004
llama3.2:1b,1,full,400,5,2281,1513,14.928009
llama3.2:1b,2,full,400,0,463,306,12.473544
llama3.2:1b,2,full,400,1,832,551,13.787447
llama3.2:1b,2,full,400,2,1201,795,14.054174
llama3.2:1b,2,full,400,3,1561,1034,17.210373
llama3.2:1b,2,full,400,4,1921,1272,17.203626
llama3.2:1b,2,full,400,5,2281,1511,18.87364
llama3.2:1b,3,full,400,0,463,306,14.619359
llama3.2:1b,3,full,400,1,832,551,14.570675
llama3.2:1b,3,full,400,2,1201,796,15.292459
llama3.2:1b,3,full,400,3,1561,1035,17.332778
llama3.2:1b,3,full,400,4,1921,1275,17.474001
llama3.2:1b,3,full,400,5,2281,1514,16.057528
llama3.2:1b,4,full,400,0,463,305,13.051011
llama3.2:1b,4,full,400,1,832,550,14.364843
llama3.2:1b,4,full,400,2,1201,794,13.616505
llama3.2:1b,4,full,400,3,1561,1033,14.088877
llama3.2:1b,4,full,400,4,1921,1272,14.238187
llama3.2:1b,4,full,400,5,2281,1511,15.72928
llama3.2:1b,0,recency,400,0,463,306,21.330323
llama3.2:1b,0,recency,400,1,832,551,12.921922
llama3.2:1b,0,recency,400,2,1201,795,13.381137
llama3.2:1b,0,recency,400,3,1561,1033,14.646937
llama3.2:1b,0,recency,400,4,1570,1039,46.412663
llama3.2:1b,0,recency,400,5,1580,1047,46.08564
llama3.2:1b,1,recency,400,0,463,305,13.812865
llama3.2:1b,1,recency,400,1,832,550,16.323544
llama3.2:1b,1,recency,400,2,1201,795,13.810687
llama3.2:1b,1,recency,400,3,1561,1034,13.895399
llama3.2:1b,1,recency,400,4,1572,1041,49.188098
llama3.2:1b,1,recency,400,5,1584,1048,48.668386
llama3.2:1b,2,recency,400,0,463,306,13.13619
llama3.2:1b,2,recency,400,1,832,551,13.99617
llama3.2:1b,2,recency,400,2,1201,795,15.551487
llama3.2:1b,2,recency,400,3,1561,1034,15.323079
