model,policy,budget,acc_mean,acc_lo,acc_hi,in_tok_mean,total_tok_mean,peak_tok_mean,ms_per_turn,tok_per_correct,reinflations_mean,n_seeds
gemma2:2b,full,400,1.0,1.0,1.0,10179.8,10227.8,1512.2,35623.82,3393.3,0.0,5
gemma2:2b,full,700,1.0,1.0,1.0,10179.8,10227.8,1512.2,30987.86,3393.3,0.0,5
gemma2:2b,full,1200,1.0,1.0,1.0,10179.8,10227.8,1512.2,31726.17,3393.3,0.0,5
gemma2:2b,recency,400,0.6667,0.6667,0.6667,8855.0,8899.0,1046.6,44969.24,4427.5,0.0,5
gemma2:2b,recency,700,0.6667,0.6667,0.6667,8855.0,8899.0,1046.6,46058.03,4427.5,0.0,5
gemma2:2b,recency,1200,0.6667,0.6667,0.6667,8855.0,8899.0,1046.6,46137.47,4427.5,0.0,5
gemma2:2b,truncate,400,0.0,0.0,0.0,2752.4,2760.4,384.0,5274.77,2752400000000.0,0.0,5
gemma2:2b,truncate,700,0.0,0.0,0.0,4357.2,4365.2,610.4,5340.81,4357200000000.0,0.0,5
gemma2:2b,truncate,1200,0.0,0.0,0.0,6889.4,6897.4,1064.8,5277.42,6889400000000.0,0.0,5
gemma2:2b,uniform,400,0.0,0.0,0.0,2268.4,2276.4,404.8,5377.33,2268400000000.0,0.0,5
gemma2:2b,uniform,700,0.0,0.0,0.0,2665.0,2673.0,550.6,5311.59,2665000000000.0,0.0,5
gemma2:2b,uniform,1200,0.0,0.0,0.0,4056.0,4064.0,1033.8,5266.51,4056000000000.0,0.0,5
gemma2:2b,reactive_afm,400,1.0,1.0,1.0,3616.4,3664.2,437.4,15767.03,1205.5,0.0,5
gemma2:2b,reactive_afm,700,1.0,1.0,1.0,6312.6,6360.6,718.2,26948.53,2104.2,0.0,5
gemma2:2b,reactive_afm,1200,1.0,1.0,1.0,9014.8,9062.8,1113.6,38711.84,3004.9,0.0,5
gemma2:2b,foveance,400,1.0,1.0,1.0,3615.2,3663.2,437.2,12160.14,1205.1,0.0,5
gemma2:2b,foveance,700,0.9333,0.8,1.0,6314.2,6362.0,717.8,17840.63,2313.3,0.0,5
