budget,method,accuracy,avg_in_tok,n
400,foveance,1.0,3075.0,5
400,full,1.0,8259.0,5
400,reactive_afm,1.0,3075.0,5
400,recency,0.667,7209.6,5
400,truncate,0.0,4198.2,5
400,uniform,1.0,3237.0,5
700,foveance,1.0,5207.0,5
700,full,1.0,8259.0,5
700,reactive_afm,1.0,5203.0,5
700,recency,0.667,7209.6,5
700,truncate,0.04,6611.0,5
700,uniform,1.0,3845.0,5
1200,foveance,0.933,7339.0,5
1200,full,1.0,8259.0,5
1200,reactive_afm,0.933,7339.0,5
1200,recency,0.667,7209.6,5
1200,truncate,0.4,10413.4,5
1200,uniform,1.0,5981.0,5
