budget,method,accuracy,avg_in_tok,n
200,full,1.0,3782.0,3
200,recency,0.0,1492.7,3
200,truncate,0.0,273.7,3
200,uniform,0.0,273.7,3
200,reactive_afm,1.0,353.0,3
200,foveance,1.0,353.0,3
200,llmlingua2,0.0,281.7,3
300,full,1.0,3782.0,3
300,recency,0.0,1492.7,3
300,truncate,1.0,425.0,3
300,uniform,1.0,398.0,3
300,reactive_afm,1.0,502.0,3
300,foveance,1.0,502.0,3
300,llmlingua2,0.0,390.3,3
500,full,1.0,3782.0,3
500,recency,0.0,1492.7,3
500,truncate,0.0,884.0,3
500,uniform,1.0,653.0,3
500,reactive_afm,1.0,790.0,3
500,foveance,1.0,790.0,3
500,llmlingua2,0.333,565.7,3
